station,latitude,longitude,elevation_ft
CYBB,68.535711,-89.805508,56
CYBC,49.1325,-68.204399,71
CYBD,52.387501,-126.596001,117
CYBG,48.331908,-70.992909,522
CYBK,64.29889679,-96.07779694,59
CYBL,49.950802,-125.271004,346
CYBQ,58.706308,-98.511057,923
CYBR,49.91,-99.951897,1343
CYBU,53.33250046,-104.0080032,1220
CYBV,52.358898,-97.018303,728
CYBW,51.1031,-114.374001,3940
CYBX,51.4436,-57.185299,121
CYCA,53.682501,-57.042303,40
CYCB,69.10810089,-105.1380005,90
CYCD,49.05497,-123.869863,92
CYCG,49.296398,-117.632004,1624
CYCK,42.3064003,-82.08190155,650
CYCO,67.816408,-115.14307,74
CYCP,52.11669922,-119.2829971,2240
CYCQ,55.68719864,-121.6269989,2000
CYCS,63.346901,-90.731102,32
CYCX,45.837766,-66.436729,166
CYCY,70.486099,-68.516701,87
CYDA,64.04309845,-139.128006,1215
CYDB,61.371101,-139.041,2647
CYDC,49.468102,-120.511002,2298
CYDF,49.2108,-57.391399,72
CYDL,58.422199,-130.031998,2600
CYDN,51.1008,-100.052002,999
CYDQ,55.741245,-120.183263,2148
CYED,53.667934,-113.472548,2257
CYEG,53.3097,-113.580002,2373
CYEK,61.0942,-94.070801,32
CYEN,49.21030045,-102.9660034,1905
CYER,56.018902,-87.676102,48
CYET,53.57889938,-116.4649963,3043
CYEV,68.30419922,-133.4830017,224
CYFB,63.756402,-68.555801,110
CYFC,45.8689003,-66.53720093,68
CYFO,54.678101,-101.681999,997
CYFR,61.18080139,-113.6900024,526
CYFS,61.7602005,-121.2369995,555
CYFT,55.077335,-59.187942,234
CYGE,51.299196,-116.982002,2575
CYGH,66.240658,-128.647757,268
CYGK,44.2253,-76.596901,305
CYGL,53.62530136,-77.70420074,639
CYGP,48.774915,-64.481893,112
CYGR,47.425242,-61.778612,35
CYGT,69.3647,-81.816101,174
CYGV,50.281898,-63.611401,124
CYGW,55.2818985,-77.76529694,34
CYGX,56.35712,-94.711504,476
CYHA,61.046398,-69.617798,103
CYHD,49.831699,-92.744202,1354
CYHE,49.368865,-121.49495,128
CYHI,70.762802,-117.806,117
CYHK,68.635597,-95.849701,152
CYHM,43.17359924,-79.93499756,780
CYHU,45.517502,-73.416901,90
CYHY,60.83969879,-115.7829971,541
CYHZ,44.88079834,-63.50859833,477
CYIK,62.417301,-77.925301,126
CYIO,72.689494,-77.968941,181
CYIV,53.85720062,-94.6536026,770
CYJF,60.2358017,-123.4690018,708
CYKA,50.703038,-120.448641,1133
CYKD,68.223297,-135.00599,23
CYKF,43.4608,-80.378601,1054
CYKG,61.5886,-71.929398,501
CYKJ,57.2560997,-105.6179962,1679
CYKL,54.80530167,-66.80529785,1709
CYKO,60.8186,-78.148598,75
CYKP,51.65859985,-85.90170288,594
CYKQ,51.473301,-78.758301,80
CYKY,51.51750183,-109.1809998,2277
CYLA,59.2967,-69.599701,119
CYLC,62.848253,-69.877853,175
CYLD,47.81999969,-83.34670258,1470
CYLH,52.195599,-87.934196,834
CYLJ,54.12530136,-108.5230026,1576
CYLK,62.417823,-110.682793,596
CYLL,53.3092,-110.072998,2193
CYLT,82.517799,-62.280602,100
CYLU,58.711399,-65.992798,215
CYLW,49.9561,-119.377998,1421
CYMA,63.61640167,-135.8679962,1653
CYMH,52.302837,-55.847433,38
CYMJ,50.33029938,-105.5589981,1892
CYMM,56.65330124,-111.2220001,1211
CYMO,51.29109955,-80.60780334,30
CYMT,49.77190018,-74.52809906,1270
CYMU,56.536098,-76.518303,250
CYMX,45.679501,-74.038696,270
CYNA,50.190114,-61.78898,39
CYND,45.521702,-75.563599,211
CYNE,53.958302,-97.8442,734
CYNM,49.76169968,-77.80280304,918
CYPA,53.21419907,-105.6729965,1405
CYPC,69.360838,-124.07547,15
CYPD,45.65670013,-61.36809921,377
CYPE,56.226898,-117.446999,1873
CYPG,49.903099,-98.273817,885
CYPH,58.471901,-78.076897,83
CYPL,51.44639969,-90.21420288,1267
CYPO,54.987932,-85.442648,173
CYPQ,44.23,-78.363297,628
CYPR,54.28609848,-130.4450073,116
CYPW,49.83420181,-124.5,425
CYPX,60.050598,-77.286903,74
CYPY,58.76720047,-111.1169968,761
CYQA,44.975376,-79.306546,925
CYQB,46.7911,-71.393303,244
CYQD,53.97140121,-101.0910034,887
CYQF,52.182201,-113.893997,2968
CYQG,42.27560043,-82.95559692,622
CYQH,60.116839,-128.821993,2255
CYQI,43.82690048,-66.08809662,141
CYQK,49.78829956,-94.36309814,1332
CYQL,49.63029861,-112.8000031,3048
CYQM,46.112202,-64.678596,232
CYQQ,49.7108,-124.887001,84
CYQR,50.43190002,-104.6660004,1894
CYQT,48.37189865,-89.32389832,653
CYQU,55.17969894,-118.8850021,2195
CYQV,51.26470184,-102.461998,1635
CYQW,52.769409,-108.243742,1799
CYQX,48.936258,-54.567719,496
CYQY,46.1614,-60.047798,203
CYQZ,53.02610016,-122.5100021,1789
CYRA,64.116096,-117.309998,723
CYRB,74.71690369,-94.9693985,215
CYRJ,48.519665,-72.265735,586
CYRL,51.06689835,-93.79309845,1265
CYRQ,46.35279846,-72.67939758,199
CYRT,62.81140137,-92.11579895,94
CYRV,50.962245,-118.184258,1459
CYSB,46.625,-80.79889679,1141
CYSC,45.438599,-71.691399,792
CYSF,59.25030136,-105.8410034,805
CYSJ,45.31610107,-65.89029694,357
CYSK,56.536891,-79.250221,104
CYSM,60.020302,-111.961998,671
CYSN,43.191598,-79.171686,321
CYSP,48.75529861,-86.3443985,1035
CYSY,71.993896,-125.242996,282
CYTE,64.230003,-76.526703,164
CYTH,55.80110168,-97.86419678,729
CYTL,53.817799,-89.896896,729
CYTQ,58.667801,-69.955803,122
CYTR,44.1189003,-77.52809906,283
CYTS,48.56969833,-81.37670136,967
CYTZ,43.627499,-79.396202,252
CYUB,69.433296,-133.026001,15
CYUL,45.467837,-73.742294,118
CYUT,66.521024,-86.225166,80
CYUX,68.7761,-81.2425,30
CYUY,48.20610046,-78.83560181,988
CYVC,55.15140152,-105.262001,1242
CYVL,67.02015,-126.128364,870
CYVM,67.54656,-64.03141,21
CYVO,48.05329895,-77.78279877,1107
CYVP,58.09609985,-68.42690277,129
CYVQ,65.28160095,-126.7979965,238
CYVR,49.19390106,-123.1839981,14
CYVT,55.84189987,-108.4179993,1423
CYVV,44.7458,-81.107201,729
CYWA,45.952202,-77.319199,427
CYWE,64.190804,-114.077002,1208
CYWG,49.90999985,-97.23989868,783
CYWH,48.423782,-123.37198,
CYWJ,65.211098,-123.435997,703
CYWK,52.9219017,-66.86440277,1808
CYWL,52.18310165,-122.0540009,3085
CYXC,49.6108017,-115.7819977,3082
CYXE,52.17079926,-106.6999969,1653
CYXH,50.018902,-110.721001,2352
CYXJ,56.238098,-120.739998,2280
CYXL,50.11389923,-91.90529633,1258
CYXN,62.240002,-92.598099,40
CYXP,66.144878,-65.713606,75
CYXQ,62.41030121,-140.8670044,2131
CYXR,47.69740065,-79.84734535,800
CYXS,53.884311,-122.666554,2267
CYXT,54.468498,-128.576009,713
CYXU,43.035599,-81.1539,912
CYXX,49.025299,-122.361,195
CYXY,60.709599,-135.067001,2317
CYXZ,47.96670151,-84.78669739,942
CYYB,46.363602,-79.422798,1215
CYYC,51.118822,-114.009933,3557
CYYD,54.8246994,-127.1829987,1712
CYYE,58.83639908,-122.5970001,1253
CYYF,49.46310043,-119.6019974,1129
CYYG,46.29000092,-63.12110138,160
CYYH,69.5467,-93.576698,92
CYYJ,48.647201,-123.427792,63
CYYL,56.86389923,-101.0759964,1170
CYYN,50.29190063,-107.6910019,2680
CYYQ,58.73920059,-94.06500244,94
CYYR,53.31919861,-60.42580032,160
CYYT,47.618599,-52.7519,461
CYYU,49.411587,-82.469645,743
CYYW,50.29029846,-88.90969849,1058
CYYY,48.60860062,-68.20809937,172
CYYZ,43.6772,-79.6306,569
CYZE,45.8853,-82.567802,623
CYZF,62.462799,-114.440002,675
CYZG,62.179401,-75.667198,743
CYZH,55.292945,-114.777276,1912
CYZP,53.25429916,-131.8139954,21
CYZR,42.999401,-82.308899,594
CYZS,64.19329834,-83.35939789,210
CYZT,50.68059921,-127.3669968,71
CYZU,54.143902,-115.787003,2567
CYZV,50.22330093,-66.26560211,180
CYZW,60.17279816,-132.7429962,2313
CYZX,44.9844017,-64.91690063,92
CYZY,55.297786,-123.133907,2264
CZBF,47.6297,-65.738899,193
CZEM,52.226398,-78.522499,24
CZFA,62.20750046,-133.3760071,2351
CZFM,67.406993,-134.860182,116
CZFN,64.909496,-125.570297,332
CZMD,53.441399,-91.762802,911
CZMT,54.0275,-132.125,25
CZPC,49.520429,-113.997002,3903
CZSJ,53.06420135,-93.3443985,951
CZST,55.93541045,-129.9824345,24
CZUM,53.56190109,-64.10639954,1442
CZVL,53.6675,-113.853996,2256